[DEBUG] 2021-09-26 12:44:46.953 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-09-26 12:44:46.956 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-09-26 12:44:46.958 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-09-26 12:44:46.997 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-09-26 12:44:46.999 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-09-26 12:44:47.112 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-09-26 12:44:47.112 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-09-26 12:44:47.116 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-09-26 12:44:47.259 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-09-26 12:44:47.273 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-09-26 12:44:47.274 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-09-26 12:44:47.285 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-09-26 12:44:47.305 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@2715644a
[DEBUG] 2021-09-26 12:44:47.305 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@2715644a
[DEBUG] 2021-09-26 12:44:47.306 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@2715644a
[DEBUG] 2021-09-26 12:44:47.306 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@6edcd0d8
[DEBUG] 2021-09-26 12:44:47.306 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@35835fa
[DEBUG] 2021-09-26 12:44:47.306 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@6892cc6f
[DEBUG] 2021-09-26 12:44:47.307 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@60d1b21f
[DEBUG] 2021-09-26 12:44:47.307 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@60d1b21f
[DEBUG] 2021-09-26 12:44:47.307 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@60d1b21f
[DEBUG] 2021-09-26 12:44:47.308 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@53e3a87a
[DEBUG] 2021-09-26 12:44:47.308 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@53e3a87a
[DEBUG] 2021-09-26 12:44:47.308 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@53e3a87a
[DEBUG] 2021-09-26 12:44:47.309 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@35ff8fc9
[DEBUG] 2021-09-26 12:44:47.309 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@35ff8fc9
[DEBUG] 2021-09-26 12:44:47.309 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@35ff8fc9
[DEBUG] 2021-09-26 12:44:47.310 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@3db64bd4
[DEBUG] 2021-09-26 12:44:47.310 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@3db64bd4
[DEBUG] 2021-09-26 12:44:47.310 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@3db64bd4
[DEBUG] 2021-09-26 12:44:47.311 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@32b9bd12
[DEBUG] 2021-09-26 12:44:47.311 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@32b9bd12
[DEBUG] 2021-09-26 12:44:47.311 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@32b9bd12
[DEBUG] 2021-09-26 12:44:47.311 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@205b132e
[DEBUG] 2021-09-26 12:44:47.311 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@205b132e
[DEBUG] 2021-09-26 12:44:47.311 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@205b132e
[DEBUG] 2021-09-26 12:44:47.312 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@3104f7bd
[DEBUG] 2021-09-26 12:44:47.312 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@3104f7bd
[DEBUG] 2021-09-26 12:44:47.312 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@3104f7bd
[DEBUG] 2021-09-26 12:44:47.312 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@6d171ce0
[DEBUG] 2021-09-26 12:44:47.312 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@6d171ce0
[DEBUG] 2021-09-26 12:44:47.313 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@57b75756
